   ,ID,SPNAME,COLLID,OCCUR,CP_CPU_SU,CPU_TIME,ELAPS_TIME,LOCK_LATCH,SQL_STMT_AVG,SQL_STMT_TOTAL,SUSPEND,SYNCIO,TOTAL_SUSPENSIONS_AVG,LOCK_REQUEST_AVG,GETPAGES_AVG,SYNCH_READ_AVG,SELECT_AVG,INSERT_AVG,UPDATE_AVG,DELETE_AVG,   
43,148416,sp43,CORPK146,1,655,0.023993,0.21296,0.009086,107,107,0.189572,0.164544,4,97,450,30,49,6,2,0,   
44,146320,sp44,CORPK041,97,646.87,0.023709,0.350006,0.001457,257.1,24939,0.327176,0.264966,10,214,970,61,88,38,2,0,   
45,146294,sp45,CORPK041,14,630.93,0.023128,0.082664,0.002223,723.14,10124,0.058326,0.016028,9,335,1324,13,611,0,54,0,   
46,147842,sp46,CORPK132,17,630.35,0.023101,0.048779,0.000209,22.71,386,0.024244,0.002029,0,6,678,0,5,0,0,0,   
47,144603,sp47,CORPK016,432,612.22,0.022442,0.087282,0.00036,10,4320,0.063445,0.001993,0,14,7009,2,5,2,0,0,   
48,146306,sp48,CORPK041,2581,592.27,0.02171,0.080873,0.006957,257.64,664972,0.058007,0.03869,2,113,990,11,88,29,2,0,   
49,148098,sp49,CORPK136,2,575.5,0.021107,0.076558,0.001434,48,96,0.055269,0.02749,2,50,2751,5,27,2,1,0,   
50,146297,sp50,CORPK041,714,574.24,0.021049,0.08558,0.004413,64.39,45973,0.063874,0.051981,2,52,751,7,35,2,1,0,   
51,145079,sp51,CORPK021,7664,573.68,0.021029,0.03046,0.004347,88.54,678603,0.00722,0.002648,2,60,841,1,56,2,1,0,   
52,146301,sp52,CORPK041,492,571.35,0.020944,0.25032,0.001651,416.77,205050,0.2294,0.224567,1,55,715,47,109,0,30,0,   
53,148028,sp53,CORPK135,2,569.5,0.020868,0.021544,0.000004,23,46,0.000602,0.000599,0,4190,428,1,4,0,1,1,   
54,145064,sp54,CORPK021,7946,568.07,0.020824,0.02835,0.003367,82.21,653214,0.006144,0.001112,3,59,788,0,67,2,0,0,   
55,145067,sp55,CORPK021,113,533.81,0.01957,0.939532,0.000528,4.27,482,0.926183,0.872172,0,4,1023,421,3,0,0,0,   
56,145884,sp56,CORPK035,3,529,0.0194,0.139728,0.00552,132.67,398,0.120137,0.075727,1,102,565,11,38,6,9,0,   
57,148031,sp57,CORPK135,3,520.67,0.019084,0.032894,0.000896,40.33,121,0.013656,0.006383,0,45,1801,2,20,1,1,0,   
58,146608,sp58,CORPK047,148,513.11,0.018811,0.19101,0.003277,82.11,12152,0.17169,0.151981,0,24,677,36,23,4,4,0,   
59,145874,sp59,CORPK035,4,508.25,0.018639,0.072811,0.000888,46,184,0.054203,0.045242,0,47,656,7,21,3,1,0,   
60,148014,sp60,CORPK135,9,504.89,0.018509,0.023413,0.001454,49.33,444,0.004806,0.000219,0,40,2185,0,25,1,1,0,   
61,148030,sp61,CORPK135,1,495,0.01816,0.029122,0.000237,46,46,0.010763,0.006233,0,35,1780,2,18,1,1,0,   
62,146116,sp62,CORPK039,8721,476.45,0.017468,0.022438,0.002031,56.72,494636,0.004265,0.002169,1,22,652,0,37,1,0,0,   
63,145840,sp63,CORPK034,1,475,0.017433,0.232832,0.005982,97,97,0.215733,0.169688,1,81,365,24,33,4,6,0,   
64,146597,sp64,CORPK047,189,464.73,0.017039,0.044286,0.002688,34.19,6462,0.026634,0.022025,1,21,630,4,24,0,0,0,   
65,147861,sp65,CORPK132,12,462.25,0.016948,0.057199,0.004146,76,912,0.039596,0.015875,1,64,1183,6,22,1,5,0,   
66,145841,sp66,CORPK034,1,458,0.016785,0.159855,0.003731,95,95,0.143701,0.124975,0,72,369,31,30,5,4,0,   
67,145363,sp67,CORPK025,8,450.88,0.01653,0.188389,0.00205,21,168,0.172114,0.054645,0,22,989,48,7,1,0,0,   
68,145081,sp68,CORPK021,8,445.5,0.016335,0.021316,0.001266,28.5,228,0.003387,0.000861,1,27,610,1,15,3,0,0,   
69,147857,sp69,CORPK132,16,435.88,0.015985,0.020424,0.000213,11.13,178,0.003706,0.000262,0,14,1331,0,9,1,0,0,   
70,144914,sp70,CORPK020,2,432.5,0.015868,0.094914,0.000073,24,48,0.08006,0.070067,1,27,713,80,17,1,0,0,   
71,147268,sp71,CORPK111,67,407.66,0.014949,0.018832,0.001153,341.21,22861,0.002953,0.000048,0,19,239,0,84,3,0,0,   
72,145455,sp72,CORPK030,150,396.3,0.014532,0.036834,0.004233,42.27,6340,0.021552,0.00307,1,54,366,0,19,0,0,0,   
73,147588,sp73,CORPK118,964,394.9,0.014481,0.028917,0.006139,76.21,73469,0.013912,0.004107,2,64,369,1,46,1,1,0,   
74,143874,sp74,CORPK002,2,394,0.014435,0.026081,0.002061,206,412,0.010633,0.004861,3,32,623,1,115,1,0,0,   
75,147944,sp75,CORPK133,3,380,0.013941,0.050151,0.010358,53.33,160,0.035481,0.020707,1,56,306,7,15,1,3,0,   
76,146419,sp76,CORPK042,1319,375.95,0.013788,0.023198,0.004119,128.04,168885,0.009117,0.001225,3,67,411,0,53,2,0,0,   
77,144716,sp77,CORPK018,2,374.5,0.013734,0.078061,0.000987,74,148,0.064303,0.031603,1,76,440,8,38,4,3,0,   
78,147864,sp78,CORPK132,85,363.41,0.01333,0.03061,0.00412,50.05,4254,0.016319,0.01186,1,42,424,3,21,3,2,0,   
79,148409,sp79,CORPK146,18,354.22,0.012991,0.063047,0.000345,13,234,0.05012,0.022921,0,18,1069,15,7,0,0,0,   
80,145066,sp80,CORPK021,17,337.76,0.012389,0.019361,0.004385,119,2023,0.006726,0.002342,2,79,440,1,77,3,0,0,   
81,147077,sp81,CORPK109,1,328,0.012026,0.270107,0.013259,61,61,0.258559,0.229793,3,115,146,22,7,7,0,0,   
82,145192,sp82,CORPK023,1,326,0.011967,0.112615,0.007689,64,64,0.100923,0.089669,0,54,300,19,14,7,1,0,   
83,145375,sp83,CORPK025,529,323.98,0.011884,0.04261,0.00264,69.05,36529,0.030347,0.013262,1,29,279,4,28,5,0,0,   
84,148248,sp84,CORPK140,2,318,0.01166,0.065178,0.000537,79,158,0.053714,0.04011,0,66,459,14,54,1,0,0,   
85,148023,sp85,CORPK135,4,315.5,0.011577,0.024137,0.0007,29.75,119,0.012322,0.007533,0,33,961,1,17,0,0,0,   
86,147276,sp86,CORPK111,1,310,0.011377,0.132721,0.003322,53,53,0.120968,0.03641,0,35,607,7,8,1,3,1,   
87,147589,sp87,CORPK118,823,304.32,0.011165,0.072588,0.002867,35.27,29025,0.061159,0.056052,1,30,283,10,16,1,0,0,   
88,146846,sp88,CORPK102,7,301.86,0.011073,0.014824,0.000008,6,42,0.003695,0.001524,0,20,1234,0,3,1,1,0,   
89,144718,sp89,CORPK018,2892,294.06,0.010788,0.059444,0.003208,61.26,177157,0.048572,0.026257,1,60,319,7,31,2,1,0,   
90,148410,sp90,CORPK146,19,285.47,0.010472,0.027431,0.012729,76.42,1452,0.016119,0.000095,1,51,659,0,24,0,1,0,   
